+-------------------+----------+-------------+---------------------------+--------------+---------------+-----------+------------+-----------------------+
| id_periodo        | ticker   | flag_subida | d                         | fecha_inicio | precio_inicio | fecha_fin | precio_fin | diferencia_porcentaje |
| 20130603-20150202 | FER.MC   |           1 | bonanza_1315              |     20130603 |       12.4800 |  20150202 |    17.5750 |          40.825320513 |
| 20130603-20150202 | ACS.MC   |           1 | bonanza_1315              |     20130603 |       21.7550 |  20150202 |    30.5750 |          40.542404045 |
| 20130603-20150202 | CABK.MC  |           1 | bonanza_1315              |     20130603 |        2.7370 |  20150202 |     3.8290 |          39.897698210 |
| 20130603-20150202 | GRI.MC   |           1 | bonanza_1315              |     20130603 |        1.8200 |  20150202 |     2.5300 |          39.010989011 |
| 20130603-20150202 | WAT.MC   |           1 | bonanza_1315              |     20130603 |       21.6000 |  20150202 |    29.7500 |          37.731481481 |
| 20130603-20150202 | ABG.MC   |           1 | bonanza_1315              |     20130603 |        2.1440 |  20150202 |     2.9200 |          36.194029851 |
| 20130603-20150202 | VIS.MC   |           1 | bonanza_1315              |     20130603 |       37.6600 |  20150202 |    51.2500 |          36.086032926 |
| 20130603-20150202 | OLE.MC   |           1 | bonanza_1315              |     20130603 |        0.2950 |  20150202 |     0.4000 |          35.593220339 |
| 20130603-20150202 | ADZ.MC   |           1 | bonanza_1315              |     20130603 |        3.9300 |  20150202 |     5.2700 |          34.096692112 |
| 20130603-20150202 | DXIBX.MC |           1 | bonanza_1315              |     20130603 |       16.2100 |  20150202 |    21.6800 |          33.744602097 |
| 20130603-20150202 | ANA.MC   |           1 | bonanza_1315              |     20130603 |       47.7000 |  20150202 |    62.7200 |          31.488469602 |
| 20130603-20150202 | PRS.MC   |           1 | bonanza_1315              |     20130603 |        5.2500 |  20150202 |     6.9000 |          31.428571429 |
| 20130603-20150202 | GRF.MC   |           1 | bonanza_1315              |     20130603 |       14.1150 |  20150202 |    18.5000 |          31.066241587 |
| 20130603-20150202 | ABE.MC   |           1 | bonanza_1315              |     20130603 |       13.2048 |  20150202 |    17.2950 |          30.975099964 |
| 20130603-20150202 | DXDAX.MC |           1 | bonanza_1315              |     20130603 |       81.9300 |  20150202 |   106.5200 |          30.013426095 |
| 20130603-20150202 | GAS.MC   |           1 | bonanza_1315              |     20130603 |       15.9450 |  20150202 |    20.6600 |          29.570398244 |
| 20130603-20150202 | XAMXL.MC |           1 | bonanza_1315              |     20130603 |        0.7610 |  20150202 |     0.9840 |          29.303547963 |
| 20130603-20150202 | DXMJP.MC |           1 | bonanza_1315              |     20130603 |       31.6100 |  20150202 |    40.7100 |          28.788358115 |
| 20130603-20150202 | FRS.MC   |           1 | bonanza_1315              |     20130603 |        0.2900 |  20150202 |     0.3700 |          27.586206897 |
| 20130603-20150202 | FUN.MC   |           1 | bonanza_1315              |     20130603 |        5.8200 |  20150202 |     7.3800 |          26.804123711 |
| 20130603-20150202 | LBK.MC   |           1 | bonanza_1315              |     20130603 |        1.4674 |  20150202 |     1.8489 |          25.998364454 |
| 20130603-20150202 | BBVAI.MC |           1 | bonanza_1315              |     20130603 |        8.3600 |  20150202 |    10.5300 |          25.956937799 |
| 20130603-20150202 | DXD3E.MC |           1 | bonanza_1315              |     20130603 |       15.4400 |  20150202 |    19.2400 |          24.611398964 |
| 20130603-20150202 | SLR.MC   |           1 | bonanza_1315              |     20130603 |        0.6000 |  20150202 |     0.7450 |          24.166666667 |
| 20130603-20150202 | EZE.MC   |           1 | bonanza_1315              |     20130603 |        0.5480 |  20150202 |     0.6771 |          23.558394161 |
| 20130603-20150202 | TEF.MC   |           1 | bonanza_1315              |     20130603 |       10.3662 |  20150202 |    12.8033 |          23.510061546 |
| 20130603-20150202 | PRM.MC   |           1 | bonanza_1315              |     20130603 |        5.2300 |  20150202 |     6.3500 |          21.414913958 |
| 20130603-20150202 | BBVAE.MC |           1 | bonanza_1315              |     20130603 |       28.0400 |  20150202 |    33.9500 |          21.077032810 |
| 20130603-20150202 | R4.MC    |           1 | bonanza_1315              |     20130603 |        4.7500 |  20150202 |     5.7500 |          21.052631579 |
| 20130603-20150202 | BIO.MC   |           1 | bonanza_1315              |     20130603 |        0.3450 |  20150202 |     0.4100 |          18.840579710 |
| 20130603-20150202 | ALNT.MC  |           1 | bonanza_1315              |     20130603 |        6.5200 |  20150202 |     7.6400 |          17.177914110 |
